philosopher;same_line
Hannah Arendt;Henri Bergson|Martin Heidegger
Aristóteles;Hannah Arendt|Epicuro|Platão|Bertrand Russell
A. J. Ayer;David Hume|Saul Kripke|Karl Popper|Ludwig Wittgenstein
Julian Baggini;Sam Harris|David Hume|Michel de Montaigne
Jean Baudrillard;Noam Chomsky|Harry Frankfurt|Marshall McLuhan|Slavoj Zizek
Simone de Beauvoir;Jean-Paul Sartre
Jeremy Bentham;John Stuart Mill|Platão|John Rawls|Michael Sandel|Peter Singer
Henri Bergson;Hannah Arendt|David Bohm|Immanuel Kant|Arthur Schopenhauer
David Bohm;Henri Bergson|G. W. F. Hegel|Thomas Kuhn|Karl Popper
Noam Chomsky;Harry Frankfurt|Nicolau Maquiavel|Platão
Cícero;Confúcio|Immanuel Kant|Nicolau Maquiavel|Platão
Confúcio;Cícero
René Descartes;Immanuel Kant|Thomas Kuhn|Gottfried Leibniz|Baruch Spinoza
Ralph Waldo Emerson;Henri Bergson|Sam Harris|Baruch Spinoza
Epicuro;Aristóteles|David Hume|Bertrand Russell
Michel Foucault;Thomas Kuhn|Karl Popper
Harry Frankfurt;Noam Chomsky|Michel de Montaigne|Ludwig Wittgenstein
Sam Harris;Julian Baggini|Ralph Waldo Emerson|David Hume|Friedrich Nietzsche|Baruch Spinoza
G. W. F. Hegel;David Bohm|Immanuel Kant|Soren Kierkegaard
Martin Heidegger;Hannah Arendt|René Descartes|Immanuel Kant|Soren Kierkegaard|Jean-Paul Sartre
Heráclito;David Bohm|Platão
David Hume;René Descartes|Immanuel Kant|Thomas Kuhn|John Locke|Nassim Nicholas Taleb
William James;A. J. Ayer|Jeremy Bentham|David Hume
Daniel Kahneman;David Hume|Nassim Nicholas Taleb
Immanuel Kant;Aristóteles|Cícero|Martin Heidegger|David Hume|Arthur Schopenhauer|Ludwig Wittgenstein
Soren Kierkegaard;René Descartes|Immanuel Kant|Blaise Pascal
Saul Kripke;A. J. Ayer|Ludwig Wittgenstein
Thomas Kuhn;Michel Foucault|David Hume|Karl Popper
Gottfried Leibniz;Blaise Pascal|Platão|Baruch Spinoza
John Locke;A. J. Ayer|David Hume|William James|Jean-Jacques Rousseau|Nassim Nicholas Taleb
Nicolau Maquiavel;Noam Chomsky|Cícero|Friedrich Nietzsche|Platão|Jean-Jacques Rousseau
Marshall McLuhan;Jean Baudrillard|Noam Chomsky
John Stuart Mill;Jeremy Bentham|John Rawls
Michel de Montaigne;René Descartes|Blaise Pascal|Nassim Nicholas Taleb
Iris Murdoch;Immanuel Kant|Platão|Ludwig Wittgenstein
Friedrich Nietzsche;Martin Heidegger|Nicolau Maquiavel|Arthur Schopenhauer|Slavoj Zizek
Blaise Pascal;René Descartes|Soren Kierkegaard|Gottfried Leibniz|Michel de Montaigne
Platão;Noam Chomsky|Cícero|Nicolau Maquiavel|Iris Murdoch|Jean-Jacques Rousseau
Karl Popper;David Hume|Thomas Kuhn|Nassim Nicholas Taleb
John Rawls;Jeremy Bentham|John Locke|John Stuart Mill|Platão|Jean-Jacques Rousseau|Peter Singer
Jean-Jacques Rousseau;Noam Chomsky|Nicolau Maquiavel|John Stuart Mill|Platão|John Rawls
Bertrand Russell;Aristóteles|Ludwig Wittgenstein
Michael Sandel;Aristóteles|Jeremy Bentham|Immanuel Kant|John Rawls|Peter Singer
Jean-Paul Sartre;Simone de Beauvoir|Martin Heidegger|Immanuel Kant
Arthur Schopenhauer;Henri Bergson|Martin Heidegger|Immanuel Kant|Platão|Ludwig Wittgenstein
Peter Singer;Aristóteles|John Rawls|Michael Sandel
Baruch Spinoza;Sam Harris|Gottfried Leibniz
Nassim Nicholas Taleb;David Hume|Daniel Kahneman|Karl Popper|Baruch Spinoza|Slavoj Zi
Ludwig Wittgenstein;A. J. Ayer|Saul Kripke|Bertrand Russell
Slavoj Zizek;Jean Baudrillard|Noam Chomsky|G. W. F. Hegel|Martin Heidegger|Friedrich Nietzsche
